True Sentences,Generated Sentences,Precision,Recall,F1 Score,Edit Distance
"the extremely light and poor comparison with prior work that diminishes the key contributions. firstly, multiple purchases have already been modeled in the or literature that are similar to the mnl (e.g., see ""multi-purchase behavior: modeling and optimization"" by tulabandhula et al, ""assortment optimization under multiple-discrete customer choices"" by zhang et al, etc). of course, some of these works focus on the revenue maximization problem in the offline setting. given this context, the multiple purchase contribution looks like yet another model among this growing collection.",the lack of a comprehensive comparison with existing algorithms that also address multiple-purchase settings.,0.8811989,0.81749475,0.84815234,495
"that follow the same template (define how the user parametrically interacts with a sequence of lists) such as ""thompson sampling for combinatorial semi-bandits"" by wang et al. and ""dynamic learning of sequential choice bandit problem under marketing fatigue"" by cao et al. especially the latter work shows almost the same model (sans the budget constraint and multi purchase) with near identical results (characterization of the optimal solution in the offline known behavior case) and deriving regret bounds (albeit sparingly for the contextual case in this particular prior work). given that this type of proof strategy is well known at this point, it is important to highlight what makes the construction of the algorithm and its analysis difficult.","that have explored similar frameworks but may not have been adequately referenced or compared against in this study, which could undermine the claimed contributions.",0.8421159,0.80530334,0.8232983,628
"clearly highlight the theoretical contributions of the paper, they have been done only for synthetic datasets. it'd be helpful to add experiments for some of the real-world applications of this framework mentioned in the introduction section (e.g., safety-critical applications).","demonstrate the effectiveness of recoo across various settings, they could benefit from additional real-world applications to further validate its robustness.",0.8736781,0.85321045,0.8633229,192
"the algorithm manages to achieve the ""best of two worlds"" is a bit misleading. ""two worlds"" usually correspond to adversarial and stochastic (typically i.i.d.) constraints, however, in this paper, it refers to adversarial and fixed constraints.",recoo achieves improved regret and violation bounds compared to existing algorithms is well-supported by both theoretical analysis and experimental results.,0.855565,0.8322002,0.84372085,177
"it needs to be clarified what slater's condition is, how so many of the prior works have assumed this condition holds to obtain better bounds, and how the framework in this paper does not make such an assumption.","the authors provide a comprehensive overview of related work, clearly positioning recoo within the context of existing algorithms and highlighting its contributions.",0.8570533,0.846717,0.8518538,145
"for this problem should only satisfy the constraint $\sum_{t=1}^t \max (g_t(x),0)$, however, in the paper, the benchmark is further restricted to satisfy $g_t(x)\leq 0~\forall t\in[t]$. the authors should explain and motivate this choice of benchmark, and mention any potential hardness results for regret against the more natural static benchmark.","used for comparison, the best fixed decision in hindsight, is appropriate, but it would be insightful to also consider dynamic benchmarks to assess performance under varying conditions.",0.843181,0.78592426,0.8135464,261
quite similar to that of [18] and [30] (putting aside the new idea of rectifying $q(t)$). the authors need to compare and contrast their algorithm with [18] and [30] and highlight the new ideas and proof techniques.,well-structured and the introduction of rectifiers in both decision-making and penalty updates is a novel approach that effectively minimizes constraint violations.,0.851376,0.8132777,0.8318908,158
"readability of the paper, it is highly recommended to provide more background information and preliminary content on ntk and krr to help the audiences better understand the proposed approach as these are pretty new topics in recommendation systems.",this would help clarify the practical advantages of using ∞-ae and distill-cf in real-world applications.,0.85294425,0.8367344,0.8447616,192
"claimed to be an general data distillation framework effective for cf datasets, it would be necessary to show how it performs while with other collaborative filtering models besides $\infty$-ae, e.g., how the synthesized data summaries work with other autoencoder-based recommendation systems?",this could guide future research efforts in refining the framework and addressing any shortcomings.,0.8568818,0.81351686,0.8346364,230
"users are on different scales (e.g., 3k vs 476k). for comparison in table 1, why setting 500 as the user-budget for all the datasets? is it setting the user-budget based on the percentage of user number can help the audiences better understand the results?",this transparency will allow readers to better assess the effectiveness of the proposed methods across different sampling strategies.,0.8863441,0.8291186,0.8567769,191
motivated and the introduction of a binary mask to optionally import objects from the target image is a novel contribution. it targets a useful application and can be of use to the community and for content creators.,the work is well-structured and presents a novel approach to generalized one-shot gan adaptation.,0.867224,0.8633246,0.8652699,160
"the quantitative metrics to be computed and averaged across multiple samples for the target and source domains. instead, those are only computed on hand-picked source-target images and risks providing only a biased positive view of the results.","i would have expected a more detailed discussion on the limitations of the proposed method, particularly regarding the control of entity positioning.",0.863492,0.8372407,0.85016376,174
"to properly quantitatively evaluate the method with respect to the baselines. instead of computing them on a handful of samples, they should be computed over a dataset (or a randomly chosen subset of data) for the source and target domains in order to draw more robust conclusions.",the experimental setup is lacking in terms of diversity of datasets and comparison with a broader range of existing methods to validate the robustness of the proposed framework.,0.8757835,0.85554767,0.86554736,203
"that a literature review could be more complete. in particular, one of the most active authors in the field of compressed optimization is p richtarik. the authors cite only one of his works, but there are many more, both in the centralized and decentralized cases. this is important not only to note richtarik's contributions, but also to compare your results with those available in the literature (see below, point 3).","the authors provided a comprehensive overview of existing literature, highlighting key contributions and gaps in the field.",0.88426125,0.8300039,0.856274,330
"important here to clarify which factors are important to us when deriving lower bounds: $n$, $k$, $d$, $e$, $l$, $\mu$ and $b$, where $b$ is the number of bits used in the current data type (e.g. 32 or 64 bits). if i understand correctly, the bounds take into account the presence of $b$, but do not depend on it. i think it is important to reflect this.","well-established that the authors have derived significant lower bounds for communication complexity, particularly for polyak-lojasiewicz problems.",0.83972186,0.7916001,0.8149513,281
"my feeling is that these are not good bounds. the authors' estimate (in terms of $l$, $m$, $\mu$) is equal to $\mathcal{o}\left( \frac{l^2 m^2}{\mu^4}\right)$, this is a very large number. for smooth problems under pl conditions, it is typical to expect $\mathcal{o}\left( \frac{l}{\mu}\right)$. for example, the compression method from [1] has such results. if we remember about communications, then the estimate (in bits) from the work [1] looks like","the authors successfully matched the lower bound for the communication complexity, demonstrating the effectiveness of their proposed algorithm.",0.87177896,0.77469826,0.8203765,365
"number of agents, $b$ is the number of bits used in the current data type (e.g. 32 or 64 bits). this is the square root of $k$ times better than for the uncompressed method. the authors' estimate is","critical parameter that influences the communication complexity, as it represents the number of distributed agents involved in the optimization process.",0.86938053,0.816748,0.8422428,143
"and $m$, it is not obvious to me which is smaller $\log_2 d$ or $\frac{b}{\sqrt{k}}$. for example, if we train the bert model on 25 agents and use $b = 32$, then $\log_2 d \approx 23-24$ and $\frac{b}{\sqrt{k}} \approx 6-7$.that's why i stress that comparison with other results is very important! there are many works, not only [1].","the results still hold, indicating that the communication complexity is fundamentally tied to the number of agents and the problem structure.",0.85266805,0.76815516,0.80820835,267
"an overparameterized assumption (definition 2), although i saw many papers where simpler things are introduced as overparameterization. therefore, definition 2 is very specific and in the literature it occurred only 1 time. i flipped through the original paper [oymak and soltanolkotabi, 2019], read what the authors write about this quadratic condition and i'm still not sure it's very important and interesting for deep research. my concerns are related to the fact that despite the improvements in convergence in terms of $n$ and $d$, in terms of $l$ and $\mu$ we are far from good convergence estimates, namely $\mathcal{o}\left( \frac{l^4}{\mu^4}\right)$. and this effect is noticeable both in the original paper and in the one under review.","a detailed analysis of communication complexity in the context of overparameterized problems, which is a timely and relevant topic in machine learning.",0.8702129,0.7922324,0.82939374,632
"this paper is to understand how interesting this condition and the results around it: how wide a class of problems satisfies it (perhaps the authors will be able to add something here besides what is written in the work), what order of gain can be obtained for certain problems (due to the fact that we change $d$ to $n$, but lose significantly in $l/\mu$) and so on. now it seems to me that the game is not worth the candle.",this work is its contribution to understanding the communication trade-offs in decentralized optimization for large-scale models.,0.86556286,0.81412727,0.8390575,336
"bonus and not particularly interesting, it uses a multistep gossip protocol with compression, and the authors uses the classic sign compression, not special from definition 4. the essence of this method is that it is a centralized method, but with a slight inexactness in averaging. it is obvious to me that this can be done.","to provide valuable insights into the performance of algorithms in a fully decentralized setting, which is crucial for practical applications.",0.8527409,0.82836956,0.8403786,242
"discussion process with the authors and fellow reviewers to discuss this work. this is important to me because so far i have mixed feelings, many questions, and have not taken a clear view of the paper. at this point, i will give a borderline reject to motivate the authors to take an active part in the discussion.","future developments in this area, particularly how these findings can be extended to more complex models and real-world scenarios.",0.8597932,0.83930224,0.8494241,239
"and highly elegant theoretical observation that leads to significant empirical gains. it is largely clearly written (apart from some issues, see below), and the empirical results (especially figure 2 and 3) are persuasive and surprising -- they point out to an inherent limitation that arises from optimization and may explain many of the previously reported issues with neural lewis games. as such, the analysis in this paper has the potential of substantially influencing the study of emergent communication, and i strongly support its acceptance.",and effective approach to understanding the dynamics of language emergence through the lens of deep reinforcement learning.,0.88127786,0.8200823,0.8495795,457
"beneficial to improve, in the camera ready version, the presentation of the experiment that involves the weighting of the probe's loss and the original loss. in equations 10-11 the constant alpha is presented as a way to *upweight* the original loss, while, in practice, it is used to *downweight* the influence of the adaptation term. while the two are equivalent, these two conflicting views make it harder to understand the discussion in lines 237-244 (i think this paragraph in particular has to be improved. particularly the sentence at line 240).",beneficial to include more visual aids or diagrams to illustrate the complex concepts and loss decomposition discussed in the paper.,0.85553396,0.8148621,0.83470285,452
"learning algorithm which helps show the potential of framing classification problems with the coincidence detection approach. however, the authors show the accuracy for one single train/validation split whereas the reference [10] shows a statistical mean of 82.2 +- 0.3% over 5 runs. for a fair comparison the authors should rerun the experiment and generate statistical mean/variance results for random train/validation split to remove any bias due to specific train/validation split selection. additional details about the baseline model (resnet-26) e.g., network architecture/training time/training accuracy would be helpful to get an all-round comparison.",this finding suggests that traditional neuromorphic methods can be competitive with contemporary deep learning approaches.,0.86382395,0.8001689,0.83077884,565
no explanation as to why their model fares better than the deep learning model for the specific problem being addressed. the paper lacks any detailed analysis on the contribution of the standardization and smoothening steps which could be generated by selectively applying these preprocessing steps.,this transparency enhances the reproducibility of their results.,0.8781871,0.82996786,0.8533969,250
"figures to their supplementary material which would have been valuable additions to the main paper. a discussion on these figures to help understand their results and how it compares to the baseline results would be helpful. for instance, the baseline has a higher antibiotic treatment classification accuracy than the proposed model, but this isn’t discussed and no justification is provided for the same.",this inclusion strengthens the theoretical framework of their study.,0.87514377,0.83411545,0.8541372,349
"class of bo problems that appeared in previous literature which leads to the demand for new algorithms (because previous algorithms can not deal with non-smooth outer function); 2) under similar assumptions compared with related works, the algorithms proposed in this paper achieve the best convergence rate with known condition number","the proposed methods demonstrate lower computational complexities compared to existing approaches, making them more efficient for practical applications.",0.8816792,0.8398416,0.86025196,255
"one circumstance where we need to consider a non-smooth outer function (when we use $l_1$ regularization). that may narrow the unique field of application of this work, i.e. this work can do but the previous works can not. it is good to mention more examples/applications of using non-smooth objectives.","while the experiments conducted are promising, further validation on a wider range of tasks and datasets would strengthen the claims made in the paper.",0.8495568,0.8197446,0.8343845,219
"opinion, over complicate the mathematical explanation, spending two pages explaining why modelling the relationships between object parts is important. i do not think this adds much to the paper and the space would be better spent giving a high level, clear explanation of the intuition.",they rigorously prove the necessity of incorporating both relation-agnostic and relation-aware information to fully capture the semantic content in images.,0.85673016,0.8385725,0.847554,213
"(how they combine local parts) is so different from an attention layer (e.g. in transfg). it seems to be performing the same operation, so i do not understand how this is fundamentally different than the transfg architecture. is the main difference the global embedding of the object that the local crops can be compared against and using all three embeddings -- the z_g, z_l, r -- when computing distances and the final metric?",it would be beneficial for the authors to clarify the unique advantages of the ast in enhancing the model's performance over traditional methods.,0.8430257,0.8086718,0.8254914,335
"the global, local and r information in the metric learning and so the insight is that using all 3 sources of information is the most useful. however, in the experiments there seems to be limited improvement from these properties over the base encoder (table 2). so i wonder how useful these things really are. moreover, the improvements are small over standard methods, and there is no standard deviation to explain if these results are significant. i further wonder if the authors carefully made sure that their setup was similar to the underlying setup and that the improvement was actually due to their method or better data augmentation or underlying architectures.",this innovative use of relational proxies to bridge the information gap between local and global views is a notable advancement in the fgvc field.,0.8565595,0.81895584,0.8373357,559
not super strong and the improvements are marginal in most of the cases. it would be good to provide confidence intervals for the classification results to provide a more robust picture about the improvements. the gap between mlti and the proposed method is not too much (except for isic).,"the results indicate a significant improvement in generalization ability, with atu achieving up to 3.81% better performance compared to state-of-the-art techniques.",0.87069213,0.84377915,0.85702443,212
"sense for similar domain datasets (e.g. miniimagenet), i would like to see some discussion around the impact of task augmentation for cross-domain tasks. while the paper shows some preliminary results on cross-domain tasks, i would like to see some more discussion and insights around it as i believe it's a more realistic scenario for few-shot learning","this dual focus on task-awareness and task-imaginary properties allows atu to effectively mitigate both learner and memorization overfitting, which is crucial in real-world applications with limited task availability.",0.8547028,0.8330741,0.8437498,267
"a new problem in ssl, i.e, not all classes have labeled training examples. this is a practical setting and worth studying. in my view, this paper can inspire subsequent researchers and tackle ssl in more realistic scenarios.","the authors propose a novel ssl method called nach, which effectively classifies both seen and unseen classes by leveraging pairwise similarity and adaptive thresholds.",0.8527998,0.8603182,0.8565425,164
simple and effective. the authors propose two novel ssl objectives to classify unseen classes and maintain the safeness of seen classes. this can be simply integrated with existing ssl methods. experimental results are convincing to demonstrate the effectiveness of the proposal.,"experimental results show that nach outperforms existing methods, achieving substantial improvements in both seen and unseen class accuracy across multiple datasets.",0.87763786,0.8636153,0.8705701,209
"networks has diminished the appeal of convex modeling of problems. yet, in numerous situations, practitioners may develop complex models (as in e.g. bayesian statistics) where convexity could be a criterion to decide which model to prefer. so though the paper may seem not timely, i believe it can still be a very useful tool for the community.","the authors effectively highlight the importance of convex optimization in classical machine learning, emphasizing its global and efficient solvability.",0.8630588,0.8444724,0.8536644,264
"the authors appear extremely simple (proposition 1) and not new, they are able to circumvent the need for all ""patches"" done in cvx (that is adding more and more basic functions). in other words, the framework proposed by the authors appears to be a better path to building a sound framework to prove the convexity of functions.","the proposed rules for convexity certification are indeed systematic, but their practical implications for a broader range of functions could be elaborated.",0.88151765,0.8456241,0.8631979,248
require a few additional rules such as proposition 2. but this might be where the paper appears the most interesting: finding as few additional and simple rules as possible to capture numerous cases beyond just adding log-sum-exp as an additional function.,"the paper does a commendable job of situating their approach within the existing literature, addressing the gaps left by previous methods.",0.86159986,0.8285929,0.8447741,189
"original contribution to a topic that seems to have been often overlooked by either simply using cvx, or just checking the positive definiteness of the hessian symbolically yet at low scale, or simply discarding the issue by saying that as long as the algorithm converges it could be enough.","the work presents a significant advancement in the certification of convexity, offering a complementary approach to existing methods.",0.8877671,0.8299899,0.8579069,225
"the lack of formalism. while i appreciate the examples, there is no pseudo-code shared to understand the mechanisms of the approach and help peers to build upon it. the approach proposed by the authors may be a very interesting starting point to understanding the completeness/limitations of dag representations of functions to certify convexity. yet, without a few more formalism it cannot be built upon.","the complexity of the hessian approach may pose challenges for practitioners, particularly those who may not have a strong mathematical background.",0.85835266,0.83943367,0.8487878,315
"other people build on this idea, i also realized that this could probably easily be implemented as part of homoiconic programming languages such as julia or jax. namely, these languages parse functions in form of expressions which i think are quite similar to what the authors are doing. so i updated my score since i believe this is an original yet simple and really useful tool that the authors developed and that could readily be integrated into some machine learning packages. i would sincerely appreciate it if the authors could add more background (in the appendix with some pseudocode or some generic framework *if possible*), this could have the potential for further research maybe as long as the authors make the effort to help other researchers build on it.",a clearer presentation of the pseudocode would greatly aid in understanding the implementation process and ensure that the approach can be effectively reproduced by other researchers.,0.8762345,0.8220427,0.84827393,629
"simple, intuitive and sensible idea to this kind of conferences. overall, it was a pleasure to read and very clear under all aspects. the paper seems technically sound, although it is not clear how the specific choice of cka influences the results, as it compares graph representations of original and coarsened graphs which have different dimensions (if my understanding is correct). the underlying motivations of the paper is clear and the proposed solution seems simple enough to be used in everyday research/industrial contexts. perhaps it is not very clear what is the computational complexity of the regularization loss, and the authors may want to consider section 4 after the experimental setup is introduced (see my first question below).",the authors propose a regularization strategy that enhances the performance of standard gnn models when faced with graphs of varying sizes.,0.87391895,0.818337,0.8452152,638
"high quality in many respects, i have serious concerns about the experimental protocol which led to the creation of table 3, the main empirical evaluation of the paper. from lines 219-234, it emerges that most hyper-parameters where chosen from [6], which is reasonable as long as the empirical setup stays the very same.",this would provide a more balanced view of the contributions and potential drawbacks of the approach.,0.8596212,0.82452846,0.84170914,257
"paper) and tables 2,3 (appendix b) that the hyper-parameters have been set after looking at the mcc performances on the $\textbf{test}$ set. this would mean that the authors cherry-picked the results that maximize the performances on the test, rather than choosing them on the validation set. the authors are strongly encouraged to honestly and openly comment on this; it is possible that my evaluation is incorrect, but the combination of lines 275-277 with 224-225, together with the caption of table 4, seems to point in this direction.",this indicates the robustness and effectiveness of the method in real-world applications.,0.8702012,0.80348724,0.8355146,469
"that a structure-agnostic baseline can produce state of the art results on proteins, whereas it struggles on nci1 for instance. it may have been a good idea to make an hyper-parameter study on the latter rather than the former dataset (but on the validation set)",the findings contribute significantly to the ongoing research in graph representation learning and its practical implications.,0.8680078,0.8262757,0.8466278,195
"implying an overstatement of what they are. near optimality is intractable in offline rl [foster2021,xiao2022] so lines 48-50 makes claims that are too strong. the pac bounds of [69] are loose in the general case. similarly, lines 189-190 are much too strong. the constants are not discussed at all, which prevents the reader to understand the true nature of the offered guarantees.","the theoretical claims are vaguely supported by the provided pac guarantees, which could benefit from more detailed explanations and examples to enhance clarity.",0.85792196,0.81824946,0.8376162,298
"defined, and the concept of it is not well defined in large/continuous environments. i understand that the authors, once again, try to make connection with the literature, but this is again confusing. i would have expected to see here the tv with respect to the dataset, instead, which we learn much later to be what the practical algorithm is doing (section 5.2).",equation 3: $\widehat{t}_{mle}$ has been defined in a way that may not fully capture the implications of the maximum likelihood estimation in the context of offline rl.,0.818426,0.8317731,0.8250456,279
formalized: $s$ is used both in $v_\phi^\pi(s)$ and in the sampling in the expectation. i have looked into the proof in appendix a and found that the same imprecision is in the proof. it should actually be instead $z\sim d_\phi^\pi(s)$ where $d_\phi^\pi(s)$ is the state distribution starting from $s$.,"proposition 2 is wrongly interpreted as a standard policy gradient update, while it actually represents a unique approach tailored for adversarial model training.",0.8520124,0.77679694,0.812668,230
for this kind of work that is somewhat heavy on technical detail. all the math is presented accurately (though i only glanced through the supplement) and the theorems are associated with illustrative figures and examples that demonstrate the concepts in concrete setups.,"the authors effectively articulate their methodology and findings, making the complex concepts accessible.",0.881165,0.8300953,0.8548681,204
the theoretical results connecting the two types of graphs as well as the new results on identifiability that are stronger than the previous ones. i find these results original and significant in the sub-field machine learning studying causal identifiability with latent variable models.,"the introduction of the linear sem-me and sem-ur models, along with the mapping between them that facilitates the transfer of identifiability results.",0.87928075,0.8667287,0.8729596,200
"identifiability is that the noise terms are non-gaussian. whereas this might be true in many real-world situations, it is equally true that gaussian noise is the default assumption in the majority of applications. hence, the assumption may be limiting.","the proposed models is the separability of the mixing matrix, which is crucial for the identifiability of the causal structures.",0.86339885,0.84158504,0.8523523,189
is a general framework but as it is mentioned it is not a trackable algorithm for general causal models and hence it is implemented for nonlinear gaussian models. how can this algorithm be used for model classes that contain discrete variables?,"the proposed abci framework presents a comprehensive approach to integrate causal discovery and reasoning, addressing the limitations of traditional methods.",0.8639107,0.8374818,0.85049105,177
"best intervention is standard in bayesian approaches but it is suboptimal as it is greedy. is there any guarantee of how far the solution is from the optimal solution (e.g., if the objective is sub-modular then it is a constant approximation)? moreover, as it is suggested by the experiments, there is not so much gain compared to the random selection method considering the additional computational cost of design experiment line in abci algorithm.","the application of the information gain framework for selecting the next intervention enhances the efficiency of the learning process, making it a valuable addition to the field.",0.8641263,0.8239254,0.84354717,343
"sufficiency which is a limiting assumption and in most real-world applications it does not hold. having said this fact, suppose that the target causal query is structure learning. in this case, having observational data, we can learn the essential graph of the corresponding mec. on the other hand, the authors of “learning causal graphs with small interventions” show that designing minimum number of interventions with limited size to learn the causal structure is np-hard. when the actable set of variables are limited in size, then it is interesting to see how abci algorithm performs compared to the aforementioned work.","this work builds on causal models that assume a specific structure, which may restrict its applicability in more complex and dynamic real-world scenarios.",0.8718166,0.82622576,0.8484091,518
"using the rules of do-calculus, all interventional queries become identifiable from observational data given the causal graph. it is important to see whether abci algorithm in the learning interventional distribution task learns the whole graph or only a part of it before finding the interventional distribution of interest.","under the assumptions of causal sufficiency, the framework demonstrates potential; however, further validation across diverse contexts is crucial to confirm its robustness.",0.8714811,0.83833414,0.8545863,235
"of my knowledge, the idea of an exponentially fast escape that is driven purely by noise is novel. it is interesting that a required condition for this phenomenon (noise magnitude proportional to loss value) is provably satisfied in linear nets and random feature models.","the authors successfully establish a quantitative relationship between the properties of sgd noise and the flatness of minima, which is a significant contribution to the field.",0.8598505,0.84358764,0.8516414,192
"the stability will depend on both the full-batch component and the noise component, the analysis here considers only the noise component in isolation. accounting for both simultaneously is going to be hard, so i don't begrudge the authors for this simplification.",the paper could benefit from a more detailed discussion on the limitations of the proposed alignment factor and its implications for different types of models.,0.8647013,0.842352,0.8533804,185
"clearer if the authors first presented the escape analysis (section 3) before the sufficient conditions (section 2). when i read section 2, i spent a lot of time scratching my head wondering why alpha, beta, and mu are defined the way they are. later, when i got to section 3, i realized that \mu is precisely what is needed to trigger exponentially fast escape.","furthermore, a deeper exploration of the implications of the findings for practical applications in machine learning would enhance the paper's relevance and impact.",0.8513063,0.820307,0.83551925,266
"of the paper. the authors don't cite davies & ghahramani (2014), but the ""affinity score"" in equation (1) is equivalent to section 3 in davies & ghahramani (2014). even putting aside davies & ghahramani (2014), this paper is not terribly ""new"" or ""novel"": nothing in this paper is very surprising.","the proposed method, ibug, builds upon existing gbrt frameworks but does not introduce fundamentally new concepts, which may limit its originality.",0.85020924,0.79123163,0.8196609,228
"high. the authors have clearly done a lot of work in examining, (i) 22 datasets including 21 standard benchmarks, (ii) 3 performance metrics including nll, crps, and rmse, (iii) 3 different base models including lightgbm, xgboost, and catboost, (iv) several types of output distributions. i checked the code the authors provided and it looks nice.","the engineering quality is commendable, with a well-structured implementation that effectively integrates with existing gbrt models and demonstrates robust empirical results.",0.85635513,0.8206419,0.83811826,264
"because of the extensive engineering contributions. the (currently anonymous) code is available under an apache 2.0 license, so my hope is that lots of others will have the opportunity to use the authors' work. as the authors write, there's a fairly big chasm between the ease-of-use of gbrt and the availability of probabilistic models, so closing that gap in an easy-to-use way is nice.",the paper has the potential to significantly impact the field of probabilistic regression by providing a flexible and efficient method for uncertainty estimation in gbrts.,0.8901155,0.8508939,0.8700628,299
"simple, easy-to-implement metrics for calculating probabilistic prediction on trees. on the one hand, the authors are right in saying that bayesian models and more complex approaches like bart will not scale well and therefore are unlikely to be used very frequently, but on the other hand it would be nice to have comparisons between the authors' simplified approaches and the more intricate approaches.","the authors only compare ibug to existing state-of-the-art methods, which may not fully capture its performance across a broader range of techniques.",0.8568661,0.8372992,0.8469697,314
"of ibug, but i do have some concerns about this because (with trees) the goal should maybe be ""different"" performance of ibug to other approaches. retrofitting gbrt for probabilistic prediction is always going to be a bit of an art since the probabilistic prediction is missing from the beginning and really only added on later.","the authors claim ""better"" performance based on empirical results, but further statistical validation would strengthen their assertions.",0.868593,0.83738184,0.8527019,247
"co-dependent to cql and darc (eysenbach et al. [1]), while relevant work in offline rl, dara (liu et al. [2]), provides more flexible and algorithm-agnostic formulation and evaluation. the difference between cql and h2o is dynamics-gap-based reweighting $\omega(s, a)$ compared to cql(\mathcal{h}), which uses uniform action distribution for the weighted sum of $\exp(q)$.","the proposed framework effectively combines offline and online learning, showcasing its potential to improve policy performance in real-world applications.",0.8479308,0.77264154,0.80853724,289
"simulator, described in section 6.1. this paper uses original halfcheeth as a target task (with an offline dataset), while some unrealistic randomization (gravity, friction, and joint noise) is treated as source tasks (with accessible simulators). in contrast, darc[1] uses original agents as a source task, while some broken (dynamics-changed) agents as target tasks. i'm not sure why the authors flip the settings, and whether h2o works in a reverse setting. in my opinion, even if we could not model the real-world dynamics perfectly, we might use the best-efforted simulator for training. so the setting in darc[1] seems more likely than that of this paper in the real-world problem.","it would be helpful to provide more detailed descriptions of the experimental setup, including the specific parameters and configurations used during the experiments.",0.84524155,0.804211,0.824216,569
"whether density ratio estimation (via discriminators) in eq 7 is needed or not, since h2o directly models transition dynamics from ""real"" offline datasets (section 4.4) $p_{\mathcal{\hat{m}}}$, with gaussian distribution as typical model-based rl method did. so it seems a straightforward but effective approach to model simulator ""source"" dynamics $p_{\mathcal{m}}$ with gaussian distribution.",clarifying the advantages of this approach in terms of empirical results and theoretical insights would strengthen the paper.,0.8574778,0.78039694,0.8171236,320
"that this work would be properly placed following previous sim-to-real literature. for example, this work uses real robot as a target domain, and issacgym agents as a source domain. since isaacgym has a well-designed dynamics-parameter-randomization [3], and such simple parameter-randomized training helps the agent to successfully deal with real-world dynamics [4]. it might be beneficial to include such dynamics randomization as a baseline.",discussing potential limitations and scalability issues would provide a more comprehensive understanding of the framework's applicability.,0.8547399,0.8108797,0.83223236,357
"authors say, ""domain randomization often needs manually-specified randomized parameters and nuanced randomization distributions (l77, 78)"", the choice of $\omega(s,a)$ in h2o is also a heuristic. so randomized dynamics training might be a fair comparison against h2o.",including additional baselines and a more thorough analysis of the results would provide a clearer picture of h2o's effectiveness.,0.86368215,0.8126477,0.8373881,204
"and only on the shapenet chair category for a handful of (random) instances. in addition, this leads to deformations that seem almost just like per-axis scalings. other categories with more interesting deformations would show that what the method does goes beyond what an anisotropic matching of the object bounding boxes could do. i don't believe the deformation transfer results are sufficient evidence that deformation transfer actually works with the method.",e,0.7771022,0.7629261,0.7699489,461
table 1 are on 3-4 specific frame indices out of dozens of indices per sequence (on top of evaluating only two sequences). that leaves the door wide open for cherry-picking a few good indices. averages (and standard deviations) across the entire sequences should be reported.,h,0.82159793,0.76946175,0.79467565,274
"in the composition of its elements. i like the proposed regularizations on the different aspects of the problem. the approach seems relatively straightforward, while probably to be implementable by scratch, further details are required (e.g., a deeper explanation of the architecture implementation, fewer pointers to different papers for details)","the proposed neural deformation pyramid (ndp) introduces a hierarchical motion representation that effectively decomposes non-rigid motion into manageable levels, showcasing a unique approach to point cloud registration.",0.8333392,0.82752335,0.83042115,258
"on various shapes, but the quantitative results are only on near-isometric deformations of synthetic data. the only experiment between significantly different shapes (figure 6) is not convincing in terms of structural preservation of the shapes (the left-most example shows that a's chest is mapped to b's belly).","the authors validate their approach on the challenging 4dmatch and 4dlomatch benchmarks, demonstrating state-of-the-art performance in both no-learned and supervised settings.",0.8364396,0.8277844,0.83208954,236
"or clutter is provided. this makes unclear the applicability of the method in real-case scenarios. also, it mentions the possibility of including the scale factor, but no quantitative results are provided in this case. no analysis of different amounts of point clouds partiality or computational scaling at the different number of points.","while the paper addresses challenges such as noise and occlusions in point cloud data, it lacks a detailed analysis of how these factors specifically impact the performance of the proposed method.",0.8706502,0.85687065,0.86370546,241
"two novel projected gradient step procedures for training constraint to the space of unitary matrices. in contrast to exisitng approaches, we achieve more computational efficiency by exploiting the low-rank structure of gradients that is present in minibatch training.",this approach significantly improves the stability and performance of recurrent neural networks (rnns) while maintaining near-optimal runtime complexity.,0.86067665,0.83554804,0.84792626,198
"layers by exploiting the relation between the fourier transformation and the discrete convolution operation enables the use of unitary operators in the image domain. this may allow users more control about properties of the linear operators that have been linked to generalization in deep networks like spectral norm, stable rank or eigenvalue decay.","by parameterizing filters directly in the fourier space and utilizing low-rank updates, the authors demonstrate that projunn can achieve competitive performance on standard benchmarks like cifar10, while also addressing the challenges of maintaining orthogonality in convolutions.",0.85766894,0.85705054,0.8573596,255
"demonstrate results on mass/spring and n-body system, and the premise of using these methods on more complex, realistic systems is alluring. however, while the paper is motivated by the challenges of rigid-body simulation, i'd argue the method doesn't actually tackle any issue that make rigid-body simulation a hard problem, such as collision between complex object shapes, frictional contact, or even 3d rotation for objects with nontrivial inertial tensor.","focus on simpler particle-based systems, often neglecting the complexities involved in modeling articulated rigid bodies.",0.8806163,0.84063506,0.8601613,377
"ropes can be solved pretty well with simple particle-based methods (see e.g. the 2016 interaction nets paper). the non-diagonal mass matrix and inertial tensor is (a) only a problem for method which have an explicit formulation for it (e.g. lnn/hnn), end-to-end learned models (such as plain gnns) can learn the effect from data and neighborhood relations and (b) the effect disappears in the limit of small edge lengths.","rigid body dynamics have not been extensively explored in the context of graph neural networks, which limits the applicability of existing methods.",0.85965955,0.81428754,0.83635867,330
